found_in_function,team,defect_category,ticket_count
24-11,IUK,Homologation L-labelled,16
24-11,IUK,Homologation L-labelled | Showstopper_Candidate,16
25-11,DIPS,Top_Issue_Confirmed,16
26-07,IUK,Homologation L-labelled,16
26-07,IUK,Showstopper_Confirmed,16
No I-Step Relevance,DIPS,Showstopper_Candidate,16
25-11,IUK,Top_Issue_Confirmed,15
26-03,DIPS,Homologation L-labelled,15
26-03,IUK,Showstopper_Candidate,15
,DIPS,Preventing Maturity Grade ConDrive | Showstopper_Confirmed,14
24-03,IUK,Showstopper_Confirmed,14
24-07,DIPS,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,14
24-11,IUK,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,14
25-07,DTSV_China,No_Showstopper_Candidate,14
25-11,,,14
26-03,DTSV_China,Preventing Maturity Grade ConDrive,14
26-03,DTSV_China,Preventing Maturity Grade ConDrive | Showstopper_Candidate,14
26-07,DIPS,Homologation L-labelled | Showstopper_Confirmed,14
26-07,DIPS,Preventing Maturity Grade ConDrive,14
,IUK,Preventing Maturity Grade ConDrive,13
24-07,DIPS,Homologation L-labelled | Showstopper_Confirmed,13
24-07,IUK,Homologation L-labelled | Not Homologation relevant,13
25-03,IUK,Homologation L-labelled | Showstopper_Candidate,13
25-07,DTSV_China,Preventing Maturity Grade ConDrive,13
25-07,DTSV_China,Preventing Maturity Grade ConDrive | Showstopper_Candidate,13
25-07,DTSV_China,Preventing Maturity Grade ConDrive | Showstopper_Confirmed,13
25-07,IUK,No_Showstopper_Confirmed,13
26-03,IUK,Preventing Maturity Grade ConDrive | Showstopper_Confirmed,13
26-07,,Showstopper_Candidate,13
26-07,IUK,Homologation L-labelled | Showstopper_Candidate,13
26-07,IUK,Homologation L-labelled | Top_Issue_Confirmed,13
,IUK,Showstopper_Confirmed,12
24-07,IUK,No_Showstopper_Candidate,12
24-11,DIPS,No_Showstopper_Confirmed,12
25-07,DIPS,Homologation L-labelled | Not Homologation relevant,12
25-07,DIPS,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,12
25-07,DIPS,Preventing Maturity Grade ConDrive | Showstopper_Confirmed,12
25-07,IUK,Homologation L-labelled | Showstopper_Candidate,12
25-11,DIPS,Showstopper_Confirmed,12
26-07,DTSV_China,Preventing Maturity Grade ConDrive | Showstopper_Confirmed,12
26-11,DIPS,,12
27-07,DTSV_China,Showstopper_Candidate,12
24-07,DIPS,No_Showstopper_Confirmed,11
25-07,,Showstopper_Confirmed,11
25-07,IUK,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,11
25-07,IUK,Top_Issue_Confirmed,11
26-03,DTSV_China,Homologation L-labelled | Showstopper_Confirmed,11
26-07,DTSV_China,Not Homologation relevant,11
26-07,IuK_TSP_Entertainment,Showstopper_Candidate,11
27-07,DTSV_China,Homologation L-labelled,11
,DIPS,Homologation L-labelled | Not Homologation relevant,10
25-07,DIPS,Preventing Maturity Grade Customer Function | Showstopper_Confirmed,10
25-07,DTSV_China,No_Showstopper_Confirmed,10
25-11,IUK,Homologation L-labelled | Top_Issue_Confirmed,10
26-03,DTSV_China,Homologation L-labelled | Not Homologation relevant,10
26-03,DTSV_China,No_Showstopper_Candidate,10
26-03,DTSV_China,Preventing Maturity Grade ConDrive | Showstopper_Confirmed,10
26-07,,Top_Issue_Confirmed,10
26-07,DTSV_China,Homologation L-labelled | No_Showstopper_Candidate,10
26-07,DTSV_China,Preventing Maturity Grade Customer Function | Showstopper_Candidate,10
26-07,DTSV_China,Showstopper_Candidate | Not Homologation relevant,10
26-07,IUK,No_Showstopper_Candidate,10
26-07,IuK_TSP_Navi,No_Showstopper_Candidate,10
27-07,DTSV_China,Preventing Maturity Grade ConDrive,10
,DIPS,Preventing Maturity Grade ConDrive | Showstopper_Candidate,9
24-07,DIPS,No_Showstopper_Candidate,9
25-03,DTSV_China,Showstopper_Confirmed,9
25-03,IUK,No_Showstopper_Confirmed,9
25-07,,Showstopper_Candidate,9
25-07,DIPS,Obstructing Maturity Grade ConDrive | Showstopper_Candidate,9
25-07,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled,9
25-07,DTSV_China,Not Homologation relevant,9
25-07,IUK,Obstructing Maturity Grade ConDrive,9
25-07,IUK,Obstructing Maturity Grade ConDrive | Showstopper_Candidate,9
25-11,,No_Showstopper_Confirmed,9
26-03,,,9
