found_in_function,team,defect_category,ticket_count
24-11,DIPS,Obstructing Maturity Grade ExtInt | Showstopper_Confirmed,2
24-11,DIPS,Showstopper_Confirmed | Not Homologation relevant,2
24-11,IUK,Homologation L-labelled | Showstopper_Candidate | No_Showstopper_Confirmed,2
24-11,IUK,Homologation L-labelled | Showstopper_Confirmed,2
25-03,DIPS,Showstopper_Candidate | Not Homologation relevant,2
25-03,DTSV_China,Homologation L-labelled,2
25-03,DTSV_China,Homologation L-labelled | Not Homologation relevant,2
25-03,[AT]W72-FIT,Showstopper_Candidate,2
25-07,,Homologation L-labelled | Showstopper_Confirmed,2
25-07,,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,2
25-07,DIPS,Escalation General Testing | Showstopper Customer Function | Showstopper_Confirmed | Buildability affected,2
25-07,DIPS,Homologation L-labelled | Top_Issue_Confirmed,2
25-07,DIPS,Obstructing Maturity Grade ConDrive,2
25-07,DIPS,Obstructing Maturity Grade ConDrive | Showstopper_Candidate | No_Showstopper_Confirmed,2
25-07,DIPS,Obstructing Maturity Grade ExtInt | Showstopper_Confirmed,2
25-07,DIPS,Preventing Maturity Grade ConDrive | Showstopper_Confirmed | Not Homologation relevant,2
25-07,DIPS,Preventing Maturity Grade Customer Function | Showstopper_Candidate | Buildability affected,2
25-07,DIPS,Showstopper_Confirmed | Not Homologation relevant,2
25-07,DTSV_China,Obstructing Maturity Grade ConDrive | Homologation L-labelled | No_Showstopper_Confirmed,2
25-07,DTSV_China,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate,2
25-07,DTSV_China,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,2
25-07,DTSV_China,Preventing Maturity Grade Customer Function | Top_Issue_Confirmed,2
25-07,DTSV_China,Showstopper_Candidate | Homologation relevant,2
25-07,DTSV_China,Showstopper_Candidate | No_Showstopper_Confirmed,2
25-07,DTSV_China,Showstopper_Confirmed | Not Homologation relevant,2
25-07,IUK,Escalation ConDrive | Homologation L-labelled | Showstopper_Confirmed,2
25-07,IUK,No_Showstopper_Candidate,2
25-07,IUK,Obstructing Maturity Grade ConDrive | Homologation L-labelled | No_Showstopper_Confirmed,2
25-07,IUK,Obstructing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate,2
25-07,IUK,Obstructing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate | No_Showstopper_Confirmed,2
25-07,IUK,Obstructing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,2
25-07,IUK,Obstructing Maturity Grade ConDrive | Showstopper_Candidate | No_Showstopper_Confirmed,2
25-07,IUK,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,2
25-07,IUK,Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Not Homologation relevant,2
25-07,IUK,Showstopper_Candidate | No_Showstopper_Confirmed,2
25-07,IuK_TSP_HMI,,2
25-07,[AT]BBA_Basis-FIT,Showstopper_Confirmed,2
25-07,[AT]W72-FIT,Showstopper_Candidate,2
25-11,,Showstopper_Candidate,2
25-11,DIPS,Escalation ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,2
25-11,DIPS,Not Homologation relevant | Top_Issue_Confirmed,2
25-11,DIPS,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,2
25-11,DIPS_TSP_CD_Updates,,2
25-11,DTSV_China,Homologation L-labelled | Not Homologation relevant,2
25-11,DTSV_China,Homologation L-labelled | Showstopper_Confirmed,2
25-11,DTSV_China,Preventing Maturity Grade ConDrive | Showstopper_Candidate,2
25-11,DTSV_China,Preventing Maturity Grade System Function | Preventing Maturity Grade Customer Function | Homologation L-labelled | Top_Issue_Confirmed,2
25-11,IUK,Homologation L-labelled | Showstopper_Confirmed,2
25-11,IUK,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,2
25-11,IUK,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,2
25-11,IUK,Preventing Maturity Grade System Function | Homologation L-labelled | Top_Issue_Confirmed,2
25-11,IuK_TSP_Navi,No_Showstopper_Confirmed,2
26-03,,No_Showstopper_Candidate,2
26-03,,Top_Issue_Confirmed,2
26-03,DIPS,Homologation L-labelled | Showstopper_Candidate,2
26-03,DIPS,Obstructing Maturity Grade ConDrive | No_Showstopper_Confirmed,2
26-03,DIPS,Preventing Maturity Grade ConDrive | Not Homologation relevant,2
26-03,DIPS,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,2
26-03,DIPS,Preventing Maturity Grade Customer Function | Showstopper_Confirmed,2
26-03,DTSV_China,Escalation ADAS | Homologation L-labelled | Showstopper_Candidate,2
26-03,DTSV_China,Obstructing Maturity Grade ConDrive | Homologation L-labelled | No_Showstopper_Confirmed,2
26-03,DTSV_China,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate,2
26-03,DTSV_China,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,2
26-03,DTSV_China,Preventing Maturity Grade ConDrive | Showstopper_Confirmed | Homologation relevant,2
26-03,DTSV_China,Preventing Maturity Grade Customer Function | Showstopper_Candidate,2
26-03,DTSV_China,Preventing Maturity Grade Customer Function | Top_Issue_Confirmed,2
26-03,IUK,Homologation L-labelled | Top_Issue_Confirmed,2
26-03,IUK,Preventing Maturity Grade Customer Function | Homologation L-labelled | Top_Issue_Confirmed,2
26-03,IUK,Preventing Maturity Grade Customer Function | Showstopper_Confirmed,2
26-03,IuK_TSP_Navi,,2
26-07,,No_Showstopper_Confirmed,2
26-07,,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,2
26-07,DIPS,Homologation L-labelled | Not Homologation relevant | Top_Issue_Confirmed,2
26-07,DIPS,Obstructing Maturity Grade ConDrive | Showstopper_Candidate | No_Showstopper_Confirmed,2
26-07,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate,2
26-07,DIPS,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,2
26-07,DIPS,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,2
26-07,DIPS,Preventing Maturity Grade Customer Function | Top_Issue_Confirmed,2
26-07,DTSV_China,Escalation ConDrive | Homologation L-labelled | Showstopper_Candidate,2
26-07,DTSV_China,No Top Issue ExtInt,2
26-07,DTSV_China,Not Homologation relevant | Top_Issue_Confirmed,2
26-07,DTSV_China,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,2
26-07,DTSV_China,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Candidate,2
26-07,DTSV_China,Preventing Maturity Grade Customer Function | Top_Issue_Confirmed,2
26-07,DTSV_China,Preventing Maturity Grade System Function | Homologation L-labelled | Showstopper_Candidate,2
26-07,IUK,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,2
26-07,IUK,Preventing Maturity Grade ConDrive | Homologation L-labelled | Top_Issue_Confirmed,2
26-07,IUK,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Candidate,2
26-07,IUK,Preventing Maturity Grade ConDrive | Top_Issue_Confirmed,2
26-07,IUK,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,2
26-07,IUK,Preventing Maturity Grade Customer Function | Showstopper_Candidate,2
26-07,IUK,Showstopper_Confirmed | Not Homologation relevant,2
26-07,IuK_TSP_Carfunctions,Showstopper_Candidate,2
26-07,IuK_TSP_Connectivity,Homologation L-labelled | Showstopper_Candidate,2
26-07,IuK_TSP_Entertainment,Homologation L-labelled,2
26-07,IuK_TSP_HMI,,2
26-07,IuK_TSP_Navi,Showstopper_Candidate,2
26-11,,Homologation L-labelled,2
26-11,DIPS,Showstopper_Confirmed,2
26-11,DIPS_TSP_CD_Updates,,2
26-11,DIPS_TSP_CD_Updates,Showstopper_Candidate,2
26-11,DTSV_China,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Candidate,2
26-11,DTSV_China,Preventing Maturity Grade Customer Function | Showstopper_Candidate,2
26-11,DTSV_China,Preventing Maturity Grade Customer Function | Showstopper_Confirmed,2
26-11,DTSV_China,Preventing Maturity Grade ExtInt,2
26-11,DTSV_China,Showstopper_Confirmed,2
26-11,IUK,Homologation L-labelled,2
26-11,IuK_TSP_Audio,,2
26-11,IuK_TSP_Connectivity,,2
26-11,IuK_TSP_Entertainment,,2
26-11,IuK_TSP_Entertainment,Homologation L-labelled,2
27-07,DIPS_TSP_CD_Updates,Showstopper_Candidate,2
27-07,IUK,Preventing Maturity Grade ConDrive | Showstopper_Candidate,2
27-07,IuK_TSP_Connectivity,Homologation L-labelled,2
27-07,IuK_TSP_Connectivity,Homologation L-labelled | Showstopper_Candidate,2
27-07,IuK_TSP_Entertainment,Homologation L-labelled | Showstopper_Candidate,2
No I-Step Relevance,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,2
No I-Step Relevance,DTSV_China,Homologation L-labelled | No_Showstopper_Candidate,2
No I-Step Relevance,DTSV_China,Preventing Maturity Grade ConDrive | Showstopper_Candidate,2
,,Escalation General Testing | Preventing Maturity Grade ConDrive | Showstopper M50 | Showstopper_Confirmed | Buildability affected,1
,,Homologation L-labelled | Showstopper_Confirmed,1
,,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,1
,,Preventing Maturity Grade ConDrive | Showstopper_Candidate,1
,,Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
,DIPS,Escalation General Testing | Preventing Maturity Grade ConDrive | Buildability affected,1
,DIPS,Escalation General Testing | Preventing Maturity Grade ConDrive | Showstopper_Confirmed | Buildability affected,1
,DIPS,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
,DIPS,No_Showstopper_Candidate,1
,DIPS,Obstructing Maturity Grade ConDrive | No_Showstopper_Confirmed,1
,DIPS,Obstructing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Candidate,1
,DIPS,Preventing Maturity Grade ADAS | Preventing Maturity Grade Powertrain | Preventing Maturity Grade Basic Function | Buildability SOP | Preventing Maturity Grade ConDrive | Homologation L-labelled | Buildability affected,1
,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Not Homologation relevant,1
,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Homologation relevant | Not Homologation relevant,1
,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
,DIPS,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Not Homologation relevant | Top_Issue_Confirmed,1
,DIPS,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
,DIPS,Preventing Maturity Grade ConDrive | Showstopper_Confirmed | Buildability affected,1
,DIPS,Preventing Maturity Grade System Function | Buildability SOP | Homologation L-labelled,1
,DIPS,Preventing Maturity Grade System Function | Escalation ConDrive | Obstructing Maturity Grade ExtInt | Preventing Maturity Grade Customer Function | Homologation L-labelled | Not Homologation relevant | Top_Issue_Confirmed,1
,DIPS,Preventing Maturity Grade System Function | Showstopper_Confirmed,1
,DIPS,Top_Issue_Confirmed,1
,DIPS_TSP_CD_Updates,,1
,DIPS_TSP_CD_Updates,Homologation L-labelled | Showstopper_Candidate,1
,DIPS_TSP_Enabler,,1
,DIPS_TSP_Enabler,Showstopper_Candidate,1
,DIPS_TSP_MobileApps,Homologation L-labelled | Showstopper_Candidate,1
,DIPS_TSP_Remote_Services,Homologation L-labelled | Showstopper_Candidate,1
,DIPS_TSP_Remote_Services,Showstopper_Candidate,1
,DTSV_China,Homologation L-labelled | Showstopper_Confirmed,1
,DTSV_China,Obstructing Maturity Grade ExtInt | Homologation L-labelled,1
,DTSV_China,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate,1
,IUK,Homologation L-labelled | Not Homologation relevant,1
,IUK,Not Homologation relevant,1
,IUK,Preventing Maturity Grade ConDrive | Homologation L-labelled | Not Homologation relevant,1
,IUK,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate,1
,IUK,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
,IUK,Preventing Maturity Grade ConDrive | Not Homologation relevant,1
,IUK,Preventing Maturity Grade System Function | Escalation General Testing | Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Buildability Blocker,1
,IuK_TSP_Audio,Homologation L-labelled | Showstopper_Candidate,1
,IuK_TSP_Carfunctions,,1
,IuK_TSP_Carfunctions,Preventing Maturity Grade ConDrive | Showstopper_Candidate,1
,IuK_TSP_Entertainment,,1
,IuK_TSP_Entertainment,Homologation L-labelled | Showstopper_Candidate,1
,IuK_TSP_HMI,Homologation L-labelled,1
,IuK_TSP_HMI,Homologation L-labelled | Showstopper_Candidate,1
,IuK_TSP_HMI,Showstopper_Candidate,1
,IuK_TSP_Navi,No_Showstopper_Confirmed,1
,IuK_TSP_Stability_Performance,Showstopper_Candidate,1
,[AT]FIT_LAENDER_CHINA,Homologation L-labelled,1
,[AT]W71-FIT,Showstopper_Candidate,1
,[AT]supplier,Top_Issue_Confirmed,1
00-00,DTSV_China,Preventing Maturity Grade ConDrive | Showstopper_Candidate,1
20-03,DIPS,,1
22-03,DIPS,,1
22-03,DIPS,Showstopper_Candidate,1
23-03,,Showstopper_Confirmed,1
23-03,DIPS,Showstopper_Candidate,1
23-03,DIPS,Showstopper_Confirmed,1
23-03,DTSV_China,Homologation L-labelled,1
23-07,,Obstructing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
23-07,,Obstructing Maturity Grade ConDrive | Showstopper_Candidate | No_Showstopper_Confirmed,1
23-07,,Obstructing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Candidate | No_Showstopper_Confirmed,1
23-07,,Showstopper_Candidate,1
23-07,,Showstopper_Confirmed,1
23-07,DTSV_Brasilien,Showstopper_Candidate,1
23-07,DTSV_China,,1
23-07,DTSV_China,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,1
23-07,DTSV_China,Showstopper_Candidate,1
23-07,DTSV_Japan,Homologation L-labelled,1
23-07,IUK,,1
23-07,IUK,Homologation L-labelled,1
23-07,[AT]CoC_EI_IuK_MGU_ENG10_SysVal,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,1
23-07,[AT]supplier,,1
23-11,,,1
23-11,,Showstopper_Candidate,1
23-11,DIPS,Buildability Obstruction | Showstopper_Confirmed,1
23-11,DTSV_China,,1
23-11,DTSV_China,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
23-11,DTSV_China,Showstopper_Candidate,1
23-11,DTSV_Japan,Homologation L-labelled | Showstopper_Confirmed,1
23-11,DTSV_WCL,Showstopper_Confirmed,1
23-11,IUK,Homologation L-labelled,1
23-11,IUK,Showstopper_Candidate,1
23-11,[AT]W06-FIT,Showstopper_Confirmed,1
23-11,[AT]W07-FIT,Buildability Obstruction | Homologation L-labelled | Showstopper_Confirmed | Buildability affected,1
23-11,[AT]W71-FIT,No_Showstopper_Candidate,1
23-11,[AT]W71-FIT,Showstopper_Confirmed,1
23-11,[AT]W72-FIT,Showstopper_Candidate,1
24-03,,Obstructing Maturity Grade ConDrive | Showstopper_Candidate | No_Showstopper_Confirmed,1
24-03,,Showstopper_Candidate,1
24-03,,Showstopper_Confirmed,1
24-03,DIPS,Homologation L-labelled | No_Showstopper_Candidate,1
24-03,DIPS,Homologation L-labelled | Not Homologation relevant,1
24-03,DIPS,Homologation L-labelled | Showstopper_Candidate | No_Showstopper_Confirmed | Not Homologation relevant,1
24-03,DIPS,No_Showstopper_Candidate,1
24-03,DIPS,No_Showstopper_Confirmed,1
24-03,DIPS,Showstopper_Candidate | Not Homologation relevant,1
24-03,DTSV_China,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,1
24-03,DTSV_China,Obstructing Maturity Grade ConDrive | Showstopper_Candidate,1
24-03,DTSV_Japan,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-03,DTSV_Korea,Homologation L-labelled | Not Homologation relevant,1
24-03,DTSV_Korea,Showstopper_Confirmed,1
24-03,DTSV_MUC_IuK,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-03,IUK,Homologation L-labelled | Not Homologation relevant,1
24-03,IUK,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-03,IUK,No_Showstopper_Candidate,1
24-03,IUK,No_Showstopper_Confirmed,1
24-03,IUK,Obstructing Maturity Grade System Function | Homologation L-labelled | Showstopper_Confirmed,1
24-03,IuK_TSP_Connectivity,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,1
24-03,[AT]FIT_Basis_SP21_LU,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-03,[AT]FIT_Basis_SP21_LU,Showstopper_Confirmed,1
24-03,[AT]W06-FIT,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-03,[AT]W71-FIT,Showstopper_Confirmed,1
24-07,,Homologation L-labelled | Showstopper_Confirmed,1
24-07,,Obstructing Maturity Grade ConDrive | Showstopper_Confirmed,1
24-07,DIPS,Buildability Obstruction | Homologation L-labelled | Showstopper_Confirmed,1
24-07,DIPS,Buildability Obstruction | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-07,DIPS,Buildability Obstruction | Obstructing Maturity Grade System Function | Homologation L-labelled | Showstopper_Confirmed,1
24-07,DIPS,Buildability Obstruction | Preventing Maturity Grade ConDrive | Showstopper_Candidate,1
24-07,DIPS,Escalation Basic Function | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-07,DIPS,Homologation L-labelled | No_Showstopper_Candidate | Not Homologation relevant,1
24-07,DIPS,Homologation L-labelled | Showstopper_Confirmed | Buildability affected,1
24-07,DIPS,No Top Issue ExtInt | Homologation L-labelled,1
24-07,DIPS,No_Showstopper_Confirmed | Not Homologation relevant,1
24-07,DIPS,Obstructing Maturity Grade Basic Function | No_Showstopper_Candidate,1
24-07,DIPS,Obstructing Maturity Grade Basic Function | Showstopper_Confirmed,1
24-07,DIPS,Obstructing Maturity Grade ConDrive | Homologation L-labelled,1
24-07,DIPS,Obstructing Maturity Grade ExtInt,1
24-07,DIPS,Obstructing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Candidate,1
24-07,DIPS,Obstructing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,1
24-07,DIPS,Obstructing Maturity Grade System Function,1
24-07,DIPS,Obstructing Maturity Grade System Function | Homologation L-labelled | Showstopper_Confirmed,1
24-07,DIPS,Preventing Maturity Grade Basic Function | Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-07,DIPS,Preventing Maturity Grade ConDrive,1
24-07,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,1
24-07,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,1
24-07,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-07,DIPS,Preventing Maturity Grade ConDrive | Showstopper_Candidate,1
24-07,DIPS,Preventing Maturity Grade ExtInt | Buildability Obstruction | Homologation L-labelled | Showstopper_Confirmed,1
24-07,DIPS,Preventing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Candidate,1
24-07,DIPS,Preventing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Confirmed,1
24-07,DIPS,Preventing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-07,DIPS_TSP_Remote_Services,Showstopper_Confirmed,1
24-07,DTSV_Japan,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-07,DTSV_Korea,Showstopper_Candidate,1
24-07,DTSV_WCL,Obstructing Maturity Grade ConDrive | Showstopper_Confirmed | Buildability affected,1
24-07,EE_BasicFunctions_RSU,Homologation L-labelled | Showstopper_Confirmed,1
24-07,IUK,Buildability Obstruction | Homologation L-labelled | Showstopper_Confirmed,1
24-07,IUK,Homologation L-labelled | No_Showstopper_Candidate,1
24-07,IUK,Homologation L-labelled | Showstopper_Candidate | No_Showstopper_Confirmed | Not Homologation relevant,1
24-07,IUK,Not Homologation relevant,1
24-07,IUK,Obstructing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-07,IUK,Obstructing Maturity Grade System Function | Homologation L-labelled | Showstopper_Candidate,1
24-07,IUK,Preventing Maturity Grade ConDrive | Showstopper_Candidate,1
24-07,IUK,Showstopper_Candidate | Homologation relevant,1
24-07,IUK,Showstopper_Candidate | Not Homologation relevant,1
24-07,IuK_CoC_XCall,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-07,IuK_TSP_AZV,Obstructing Maturity Grade ConDrive | Showstopper_Confirmed,1
24-07,IuK_TSP_Entertainment,No_Showstopper_Candidate,1
24-07,IuK_TSP_Fokusteam,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-07,IuK_TSP_Fokusteam,Obstructing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,1
24-07,[AT] EE-FIT_SP21_LK,Preventing Maturity Grade ConDrive | Showstopper_Confirmed,1
24-07,[AT]CoC_EI_IuK,Showstopper_Candidate,1
24-07,[AT]CoC_EI_IuK_China,,1
24-07,[AT]CoC_EV_FAS,Preventing Maturity Grade ConDrive | Showstopper_Candidate,1
24-07,[AT]FIT_LAENDER,Homologation L-labelled | Showstopper_Candidate,1
24-07,[AT]FIT_LAENDER,Preventing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Candidate,1
24-07,[AT]FIT_LAENDER,Preventing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Confirmed,1
24-07,[AT]FIT_LAENDER,Showstopper_Candidate,1
24-07,[AT]FIT_LAENDER_CHINA,Showstopper_Confirmed,1
24-07,[AT]SysVal_China,No_Showstopper_Candidate,1
24-07,[AT]SysVal_Korea,,1
24-07,[AT]W01-FIT,Showstopper_Candidate,1
24-07,[AT]W10-FIT,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-07,[AT]W30-FIT,Showstopper_Confirmed,1
24-07,[AT]W71-FIT,Showstopper_Candidate,1
24-07,[AT]W71-FIT,Showstopper_Candidate | No_Showstopper_Confirmed,1
24-07,[AT]W71-FIT,Showstopper_Confirmed,1
24-07,[AT]W72-FIT,Showstopper_Candidate,1
24-07,[AT]W72-FIT,Showstopper_Confirmed,1
24-07,[AT]supplier,No Top Issue ExtInt | No_Showstopper_Candidate,1
24-07,[AT]supplier,No_Showstopper_Confirmed,1
24-11,DIPS,Homologation L-labelled | No_Showstopper_Confirmed | Not Homologation relevant,1
24-11,DIPS,Homologation L-labelled | Showstopper_Candidate | Buildability affected,1
24-11,DIPS,Homologation L-labelled | Showstopper_Confirmed | Homologation relevant,1
24-11,DIPS,Homologation L-labelled | Showstopper_Confirmed | Preventing Maturity Grade Candidate ExtInt,1
24-11,DIPS,No Top Issue ExtInt | Homologation L-labelled | Showstopper_Candidate,1
24-11,DIPS,Not Homologation relevant,1
24-11,DIPS,Obstructing Maturity Grade ConDrive,1
24-11,DIPS,Obstructing Maturity Grade ConDrive | Homologation L-labelled,1
24-11,DIPS,Obstructing Maturity Grade ConDrive | Showstopper_Candidate,1
24-11,DIPS,Obstructing Maturity Grade ConDrive | Showstopper_Confirmed,1
24-11,DIPS,Obstructing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Confirmed,1
24-11,DIPS,Obstructing Maturity Grade ExtInt | Showstopper_Candidate,1
24-11,DIPS,Preventing Maturity Grade ConDrive | Showstopper_Candidate,1
24-11,DIPS,Preventing Maturity Grade Energy Management | Showstopper_Candidate,1
24-11,DIPS,Preventing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Candidate,1
24-11,DIPS,Preventing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Candidate | No_Showstopper_Confirmed,1
24-11,DIPS,Preventing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Confirmed,1
24-11,DIPS,Top_Issue_Confirmed,1
24-11,DTSV_China,Homologation L-labelled | Showstopper_Candidate,1
24-11,DTSV_China,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-11,DTSV_China,No_Showstopper_Confirmed,1
24-11,IUK,Homologation L-labelled | No_Showstopper_Confirmed,1
24-11,IUK,Homologation L-labelled | Showstopper_Candidate | Buildability affected,1
24-11,IUK,No Top Issue ExtInt | No_Showstopper_Candidate,1
24-11,IUK,No Top Issue ExtInt | Showstopper_Candidate,1
24-11,IUK,Obstructing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Candidate,1
24-11,IUK,Obstructing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Confirmed,1
24-11,IUK,Obstructing Maturity Grade System Function | Homologation L-labelled | Showstopper_Candidate,1
24-11,IUK,Preventing Maturity Grade ConDrive | Showstopper_Candidate,1
24-11,IUK,Preventing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Candidate,1
24-11,IUK,Preventing Maturity Grade System Function | Homologation L-labelled | Showstopper_Candidate,1
24-11,IUK,Showstopper_Candidate | Homologation relevant,1
24-11,IUK,Showstopper_Candidate | Not Homologation relevant,1
24-11,IUK,Showstopper_Confirmed | Homologation relevant,1
24-11,MGU_Stability_Analysis,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,1
24-11,MGU_Stability_Analysis,Showstopper_Candidate,1
24-11,[AT]CoC_EI_IuK_China,,1
24-11,[AT]W72-Analysis,Obstructing Maturity Grade ConDrive,1
24-11,[AT]W72-FIT,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
24-11,[AT]W72-FIT,Showstopper_Confirmed,1
24-11,[AT]supplier,Obstructing Maturity Grade ConDrive,1
25-03,,Obstructing Maturity Grade ConDrive,1
25-03,,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-03,DIPS,Escalation General Testing | Preventing Maturity Grade SI | Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,1
25-03,DIPS,Homologation L-labelled | Showstopper_Confirmed | Homologation relevant,1
25-03,DIPS,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-03,DIPS,No_Showstopper_Candidate,1
25-03,DIPS,Obstructing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate,1
25-03,DIPS,Obstructing Maturity Grade ConDrive | Showstopper_Candidate,1
25-03,DIPS,Preventing Maturity Grade ConDrive,1
25-03,DIPS,Preventing Maturity Grade ConDrive | Showstopper_Candidate,1
25-03,DIPS,Top_Issue_Confirmed,1
25-03,DTSV_China,No Top Issue ExtInt,1
25-03,DTSV_China,No_Showstopper_Confirmed,1
25-03,DTSV_China,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate,1
25-03,DTSV_China,Showstopper_Candidate | Not Homologation relevant,1
