found_in_function,team,ticket_count
25-11,IuK_TSP_Stability_Performance,1
26-03,DIPS_TSP_Call_Services,1
26-03,DIPS_TSP_Car_Apps,1
26-03,DTSV_Korea,1
26-03,[AT]CoC_EV_FAS,1
26-03,[AT]W0-FIT,1
26-03,[AT]supplier,1
26-07,DTSV_Japan,1
26-07,EA-282_PHEV_SP21plus_FZG_VI,1
26-07,IuK_CoC_BASE,1
26-07,IuK_TSP_AZV,1
26-07,IuK_TSP_VorIntegration,1
26-07,KHIL_TestDesign,1
26-07,Modul-PL_EES25_CoCo,1
26-07,[AT] E_E_DTC_Analysis_SP25_XNF,1
26-07,[AT]W0-FIT,1
26-07,[AT]W01-FIT,1
26-11,DIPS_TSP_Remote_Services,1
26-11,IuK_TSP_Carfunctions,1
26-11,[AT]BBA_Basis-FIT,1
26-11,[AT]W72-FIT,1
27-07,DIPS_TSP_Enabler,1
27-07,DIPS_TSP_Remote_Services,1
27-07,[AT]CoC_EI_IuK,1
27-11,DTSV_China,1
No I-Step Relevance,,1
