Test Scope,Test Type,Test Module,Attribute,Component,Probability,Impact,Risk & Priority,,Customer Cases,Test Step,Ticket,CW52-02,Ticket,CW03,Ticket,CW04,Ticket,CW06-07,Ticket,CW09,Ticket,CW10,Ticket,CW11,Ticket,CW12,Ticket,CW13,Ticket,CW14,Ticket,CW15,Ticket,CW16,Ticket,CW17,Ticket,CW19,Ticket,CW20,Ticket,CW21,Ticket,CW22,Ticket,CW23,Ticket,CW24,Ticket,CW25,Ticket,CW26,Ticket
"Cross-Functional
跨功能","Across Application
应用之间交互",Audio interaction,,,Low Rate,Low Impact,6,,"audio attenuation by speech
语音使用时对其他音源的音量抑制","Test volume attenuation by speech
63.语音TTS对多媒体音量的抑制
.参考：IPA声音最小，Media声音中等；将声音降低程度设置为低、中、高，并观察结果。另外，视频仅声音follow以上设置，不会中断播放",,pass,,pass,,pass,,pass,,pass,,pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Cross-Functional
跨功能","Across Application
应用之间交互",Audio interaction,,,High Rate,Low Impact,8,,"interaction - Siri
声音交互-Siri","CarPlay Siri and IPA can interrupt each other when being activated
64.目前确定Elli唤醒时,Siri不能被激活; Siri唤醒时,Elli可被激活,信息不明确,等POT最终确认",,No Run,,blocked,Block by the ticket: 2123822,pass,,pass,,pass,,pass,,blocked,2187892,Fail,2199413,Fail,2199413,Fail,2199413,Fail,2199413,Fail,2199413,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Dynamic Roadtest
动态路测","Security
安全性","Emergency Call
紧急救援",,,High Rate,Low Impact,8,,"interaction - Xcall/Ecall
声音交互-Xcall/Ecall","use speech to control xcall/ecall
65.Xcall/Ecall会打断语音，拨打时无法唤醒语音，结束后语音恢复正常
66.拨打紧急救援,拨打事故救援,拨打客户服务. NLU 我的车出事故了",,pass,,pass,,pass,,pass,,Fail,票被打回01说是ecall问题,Fail,"2167172
2185006",Pass,,Pass,,Pass,,Pass,,Fail,2231376 new,Fail,2231376,Fail,2231376,Fail,2231376,Pass,,Pass,,,,,,,,,,,
"Cross-Functional
跨功能","Across Application
应用之间交互",Audio interaction,,,Extremely Low Rate,Moderate Impact,6,,"interaction - Phone call 
声音交互-蓝牙电话","-incoming call will interrupt current speech dialog
-no WuW during call and recover after call ends
67.来电或去电会打断语音，在通话进行时无法唤醒语音，通话结束后恢复正常",,pass,,pass,,pass,,pass,,pass,,pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Cross-Functional
跨功能","Peripherals
外设",Game Controller,,,Low Rate,Low Impact,6,,"interaction - gaming
声音交互 - 游戏控制器
","activate speech when gaming
68.用语音打开,支持NLU（我想玩游戏，但要注意speedlock)
69.玩游戏时可否唤醒语音",,Fail,,pass,,pass,,pass,,blocked,咪咕没网2166048,pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Fail,2272298,,,,,,,,,,
"Cross-Functional
跨功能","Across Application
应用之间交互(易错点测试)",Audio interaction,,,Extremely Low Rate,Low Impact,4,,"interaction - FA video
声音交互-FA视频播放","test interaction when FA playing
70.FA播放时语音是否可唤醒？
71.通过语音暂停、继续播放的表现？(指令：静音/恢复静音，暂停播放/继续播放)",,blocked,,blocked,,blocked,,blocked,,blocked,,blocked,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
,,,,,Low Rate,Moderate Impact,9,"complex speech ability
语音复杂功能测试","snoozing+SWYS
延时聆听+所见即可说","use snoozing+SWYS to select video/menus，
72.测试snoozing+可见即可说组合使用
场景设计:
#我想看xxx/打开xxx视频app>>语音给出结果并进入snoozing>>#直接说视频名称/或视频分类tab。期待能够通过SWYS切换想要的内容。同理，可以尝试系统菜单逐级选择，音乐搜索等",,Fail,2110082,Fail,2110082,pass,,pass,,blocked,三方没网2166048,Fail,2176560,Fail,2191271,Fail,2193078,Fail,2198200,Fail,"2136906
2156317",Fail,"2225068 new
2228685 new",Fail,"2198200
2225068 new
2228685 new",Fail,"2198200
2225068 new
2228685 new",Pass,,Pass,,Pass,,,,,,,,,,,
,,,,,Low Rate,Moderate Impact,9,,"multi-intent
多意图指令","multi-intent testing
73.目前支持<车控+音乐+导航>最多3个指令的组合
74.跨域指令，导航域最后执行
具体参考https://atc.bmwgroup.net/confluence/display/DTSVCHINA/multi-intent+commands",,pass,,pass,,pass,,pass,,blocked,车控超时都,Fail,2187464,Fail,2191737,Fail,2191737,Fail,2191737,Fail,2216281,Fail,2216281,Fail,"2191737
2216281
",Fail,"2191737
2216281
",Pass,,Pass,,Pass,,,,,,,,,,,
,,,,,High Rate,Low Impact,8,,"NLU + implicant intent
自然语音+隐式指令识别","75.NLU command 典型指令：
1、开关类 - 开开\给我打开\把xxx打开，给我关上\把xxx关掉
2、指向类 - 这里、这边、这侧、这儿
3、同义词 - 小\少\低\弱\降低等，大\高\增加\调高等，一条\一个等
76.Implicent intent 典型指令：
1、空调 - 我热了，有点冷，太热了，我累了，有点困。。。
2、导航 - 车没油（电）了，我有点饿，我想吃火锅。",,pass,,Fail,,Fail,2138510,Fail,2138510,Fail,2138510,Fail,2138510,Fail,2138510,Fail,2138510,Fail,2138510,Fail,2138510,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
,,,,,Low Rate,High Impact,12,,"dictation
听写功能","dictation on speller-especially important for HK
77.键盘上的听写功能：输入(仅主驾聆听)和识别检验(无明显延迟)",2103552,Fail,2103552,pass,,pass,,pass,,Fail,2169258,pass,,Fail,2185333,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
,,,,,High Rate,Low Impact,8,,"using TTS Testing(navi, weather)
语音TTS使用","check Branded voice using and prompt completion
78.TTS播报与语音设置（语言、男声、女声）相符,并且播放完整无吞字少字
79.burger-in功能可正常打断播报",,pass,,pass,,pass,,pass,,pass,,pass,,Fail,2192217,Fail,2198544,Fail,2188350,Pass,,Pass,,Pass,,Pass,,Pass,,Fail,2203677,Fail,2203677,,,,,,,,,,
,,,,,High Rate,Low Impact,8,,"SWYS on different menus
所见即可说","SWYS testing on normal wakeup 测试方式: 唤醒+SWYS (非snoozing)
80.功能开启
2507/EVO将默认打开，不再有SWYS的开关,仅受IPA语言的控制
81.SWYS在各级菜单中的应用
1.SWYS在系统应用(如导航),三方应用(如QQ,华为Store)
2.SWYS在三方应用（如QQ音乐、喜马拉雅、酷我音乐、腾讯视频、华为商店等）
3.SWYS在车控菜单(如驾驶设置)的可用性",2110082,pass,,pass,,pass,,Fail,2138510,Fail,2156995,Fail,"2176560
2156317",Fail,2191271,Fail,2191271,Fail,"2198200
2191232",Fail,,Fail,2156317,Fail,2198200,Fail,2198200,Pass,,Pass,,Pass,,,,,,,,,,,
,,,,,Low Rate,Moderate Impact,9,,"sample command + error prompt
示例指令 + 错误提示","if sample commands can work
82.检验语言示例指令以及error反馈是否符合用户预期
if not supported intents have prompt
83. 当指令不被支持或理解时,会给出合理清晰的提醒
(如:打开近光灯，打开天窗等，能给出正确的‘功能暂不支持’之类的话术)",,pass,,pass,,pass,,pass,,pass,,pass,,Fail,2190581,Fail,2190581,Fail,2199435,Fail,2213962,Fail,2213962,Fail,2213962,Fail,2213962,Pass,,Pass,,Pass,,,,,,,,,,,
,,,,,Extremely Low Rate,Low Impact,4,,"CPSP功能
三方能力识别","chitchat and 3rd skil(不要在snoozing状态下测)
84.CPSP功能测试
chitchat(how are you, what's your name, 你的星座是什么等),query stocks, flights...",,pass,,pass,,pass,,pass,,pass,,pass,,Fail,2191227,Fail,2196946,Fail,2196946,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Cross-Functional
跨功能","Across Application
应用之间交互(易错点测试)",Telephony,,,High Rate,High Impact,16,"functional testing 
易错点功能测试","make phone call via speech
蓝牙电话","test interaction with telephony
85.拨打号码/联系人和当号码出错（如号码为空）的错误提示
86.查看通话记录
87.其他蓝牙相关指令,如移动设备列表",,pass,,pass,,pass,,pass,,pass,,Fail,2177263,Pass,,Pass,,Pass,,Fail,2215564,Fail,2215564,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Interoperability
互操作性","Cross Eco-system
跨生态系统","Involve 3rd party
涉及第三方应用",,,High Rate,Low Impact,8,,"function interaction with CarPlay phone and navigation
CarPlay功能交互","CarPlay is connected, and guidance is started:
-use speech to dial a contact
-use speech to set destination
88.speech能正确提示用户，需先停止carplay（但不应该一直弹popup）",,pass,,blocked,Block by: 2127038,pass,,pass,,pass,,pass,,blocked,2187892,Fail,2199413,Fail,2199413,Fail,2199413,Fail,2199413,Fail,2199413,Fail,2199413,Pass,,Pass,,Pass,,,,,,,,,,,
"Cross-Functional
跨功能","Across Application
应用之间交互(易错点测试)",Navigation,,,High Rate,Moderate Impact,12,,"Map and route control
导航地图及路线控制","map zooming control
89.控制地图的缩放，以及相应的热词(放大地图/缩小地图)
change route criterial
90.切换不同的路线标准：如避开收费，不走高速等（请以实际为准）",,Fail,2113150,pass,,pass,,pass,,pass,,pass,,pass,,Pass,,Pass,,Pass,,Fail,2219884,Fail,"2224607
2223665",Fail,"2241425
2224607
2223665",Fail,"2241425
2223665",Pass,,Fail,2271162,,,,,,,,,,
"Cross-Functional
跨功能","Across Application
应用之间交互(易错点测试)",Navigation,,,High Rate,High Impact,16,,"Set destination 
导航设置目的地","set destination 易错点：
91.设置目的地或途径点等
1.搜索具体POI并设置为目的地(或途径点)
2.搜索某一类POI category,并设置为目的地(或途径点)
3.添加/删除中途点或替换目的地（尤其是家、公司）
92. 搜索方式: 沿途搜索、目的地附近、当前位置附近
93.设置或修改家庭\公司地址","2088586
",Fail,2112064,Fail,2112064,Fail,2112064,Fail,2112064,pass,,pass,,pass,,Fail,2198539,Fail,2206495,Pass,,Fail,2200424 dup to 2213967,Fail,"2213967
2224607
2223665",Fail,"2213967
2223665",Fail,2223665,Fail,2223665,Fail,"2223665
2270812",,,,,,,,,,
"Interoperability
互操作性","Cross Eco-system
跨生态系统","Involve 3rd party
涉及第三方应用",,,Extremely Low Rate,Low Impact,4,,"control app in HUAWEI store
三方应用","open xxxx app name/download xxx app name
94.能够识别并打开或下载app
(注意：尽管输入并识别明确的app，但store依然会推一个list给语音，这是spec)",2102457,pass,,pass,,pass,,pass,,pass,,pass,,pass,,Pass,,Fail,2188350,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Cross-Functional
跨功能","Across Application
应用之间交互(易错点测试)",Entertainment,,,High Rate,High Impact,16,,"play media sources
功能测试-音乐播放","switch between different source
95.音源跳转测试
各音源两两互切,包括QQ音乐/喜马拉雅/网易云音乐/收音机/蓝牙音乐/USB音乐/CarPlay音乐等，测试不同指令下的表现: 播放xxx/打开xxx,以及NLU 我想听xxx
96.播放控制
不同音源的音控热词:切歌热词, 播放模式热词, 播放收藏热词, 音量控制
97.各种方式的音乐搜索
(歌名，歌手名，某一句歌词),QQ/网易云播放首页推荐音乐（播放猜你喜欢，播放每日30首等）",2110081,Fail,2114257,Fail,2114257,pass,,pass,,Fail,2167166,Fail,"2167166
2182556",Fail,2184353,Fail,2184353,Blocked,2167166,Pass,,Pass,,Pass,,Fail,2180907,Fail,2180907,Pass,,Fail,2271215,,,,,,,,,,
"Cross-Functional
跨功能","Across Application
应用之间交互(易错点测试)",Entertainment,,,Low Rate,Moderate Impact,9,,"play video
功能测试-视频播放","control video playing
易错点：
98.视频app打开和跳转
99.内容搜索(注意speedlock,指定视频app或不指定)
100.播放控制视频的暂停、继续，测试热词切下一个是否工作
",,pass,,pass,,Fail,2136906,Fail,2136906,blocked,2166048,Fail,2183124,Fail,2183124,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Cross-Functional
跨功能","Across Application
应用之间交互(易错点测试)",Entertainment,,,High Rate,High Impact,16,,"play radio
功能测试-收音机播放","control radio playing
易错点：
101.频道播放 (收听/打开/播放+频道)
102:收藏: 添加收藏/播放收藏频道",2102817,pass,,pass,,pass,,pass,,pass,,Fail,2182883,Fail,"2190269
2182883",Fail,"2190269
",Fail,"2167166
",Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Cross-Functional
跨功能","Across Application
应用之间交互(易错点测试)",Weather,,,Low Rate,Moderate Impact,9,,"query weather by location
功能测试-查询天气","query weather of destination
易错点：
103.查询天气
1.查询目的地天气\连续变化不同目的地查询
2.最多查询5天内的天气",,pass,,pass,,pass,,pass,,pass,,Fail,2182340,Fail,2182340,Fail,2196946,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Cross-Functional
跨功能","Across Application
应用之间交互(易错点测试)",launcher,,,Low Rate,Low Impact,6,,"open desktop
功能测试-打开主页","show desktop
104.功能及热词测试
1.泛化说法:显示\打开\回到\返回 - 主页\桌面\首页
2.热词：打开主页",,pass,,pass,,pass,,pass,,pass,,pass,,pass,,Pass,,Pass,,Fail,2190545,Pass,,Pass,,Pass,,Pass,,Pass,,Fail,2271199,,,,,,,,,,
"Cross-Functional
跨功能","Across Application
应用之间交互(易错点测试)",FA,,,Extremely Low Rate,Low Impact,4,,"open FA app
功能测试-打开FA","general speaking testing
105.节日触发
1.泛化指令“节日快乐”的反馈如何
2.指定具体FA节日能否触发动画？",,pass,,pass,,pass,,pass,,pass,,pass,,pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
,,,,,Very High Rate,Extremely High Impact,25,,"open system settings/apps
打开系统设置/应用菜单","open setting should open system  setting menu
106.app和界面打开
1.打开设置\系统设置\设置菜单\设置界面 不会错误的打开安卓底层设置
2.打开全部应用会显示全部应用菜单,打开app名字能够正确打开相应菜单（需要特别留意车辆应用)",,pass,,pass,,Fail,2138482,pass,,pass,,Fail,2181769,Fail,2181769,Fail,2199415,Pass,,Pass,,Pass,,Pass,,Fail,"2242341
2240510",Fail,2234478,Fail,2234478,Fail,"2234478
2270773",,,,,,,,,,
,,Checklist Coverage,,,,,,100.00%,Pass Rate    (通过率),,,40.32%,,50.00%,,51.61%,,53.33%,,40.32%,,45.16%,,48.39%,,50.00%,,53.23%,,67.74%,,61.29%,,62.90%,,61.29%,,69.35%,,71.43%,,55.56%,,,,,,,,,,,
,,(check点占所有DTSV测试范围模板的比值，值越高证明功能越复杂，反之亦然),,,,,,,Test Coverage (Not Blank or N/A or Blocked)  （测试覆盖率，非空数据）,,,67.74%,,67.74%,,70.97%,,73.33%,,66.13%,,83.87%,,83.87%,,83.87%,,83.87%,,88.71%,,88.71%,,88.71%,,90.32%,,93.55%,,96.83%,,84.13%,,,,,,,,,,,
,,,,,,,,,Defect Density (缺陷密度),,,44%,,43%,,35%,,33%,,69%,,60%,,56%,,42%,,50%,,29%,,68%,,54%,,58%,,39%,,36%,,49%,,,,,,,,,,,
,,,,,,,,,Ticket List （问题列表）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
