Test Scope,Test Type,Test Module,Attribute,Component,Probability,Impact,Risk & Priority,,Customer Cases,Test Step,Ticket,CW52-02,Ticket,CW03,Ticket,CW04,Ticket,CW06-07,Ticket,CW09,Ticket,CW10,Ticket,CW11,Ticket,CW12,Ticket,CW13,Ticket,CW14,Ticket,CW15,Ticket,CW16,Ticket,CW17,Ticket,CW19,Ticket,CW20,Ticket,CW21,Ticket,CW22,Ticket,CW23,Ticket,CW24,Ticket,CW25,Ticket,CW26,Ticket
"Dynamic Roadtest
动态路测","Robustness
成熟性","Startup
应用恢复启动",,,Low Rate,High Impact,12,,"on account switching
账号切换","check speech activation when switching  switch from main user to others, speechc ould be activated normally (allow <20s initialization)
11.切换账号后启动
账号切换完成后PTT trigger, speech是否能正常工作,如果触发初始化,时间<20s",,Fail,,pass,,pass,,pass,,pass,,pass,,pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Dynamic Roadtest
动态路测","Robustness
成熟性","Startup
应用恢复启动",,,Low Rate,High Impact,12,,"on language change
语言切换","switch Mandarin to EN=> install language automatically, and WuW changes, switch back to Mandarin, Mandarin is set for IPA and no need re-initialization
12.切语言后启动
切换系统语言,唤醒词跟随IPA语言发生相应变化,并可立即生效无需初始化",,pass,,pass,,pass,,pass,,Fail,2166317,pass,,pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
,,,,,High Rate,High Impact,16,TC114 topics,"TC114-microphone: check if microphone can be enabled 
检查是否能够正确激活microphone权限","if microphone access can be eanbled normally (can set microphone off in DPM first)
13. press PTT - 点击PTT会提示开启权限，点击ok会正确跳转DPM页面
14. press dictation - 点击speller听写，会提示开启权限，点击ok会跳转DPM页面",,No Run,,No Run,,No Run,,,,Fail,2166321,Fail,2175515,pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
,,,,,High Rate,Low Impact,8,,"TC114-GPS: check speech intents related to location
开关DPM中位置权限，检查位置相关指令的feedback
","location off and use speech to check location based functions
15. query weather of current location - 查当前位置天气/查其他城市天气(不受影响)
16. POI search/query location - 导航到POI/问当前位置",,No Run,,No Run,,No Run,,,,Fail,new ticket needed 当前位置天气可以查,pass,,pass,,Fail,2196946,Fail,2196946,Fail,2196946,Pass,,Fail,2236569,Fail,2236569,Fail,2236569,Fail,2236569,Fail,2236569,,,,,,,,,,
,,,,,Low Rate,Low Impact,6,,"TC114-interior camera: check speech intents related to camera
开关DPM中相机权限，检查内饰相机相关指令的feedback","camera off and use speech to check interior camera releated functions
17. take photo/video - 拍照/连续拍照/自拍, 拍摄视频
18. view gallery - 查看图库",blocked,blocked,blocked,blocked,blocked,blocked,,blocked,,blocked,,blocked,,blocked,,blocked,,Blocked,,Blocked,,Blocked,,Blocked,,Blocked,,Blocked,2249108,Fail,2249108,No Run,,,,,,,,,,,
,,,,,Very High Rate,High Impact,20,"speech setting and persistance
语音设置和同步","IPA options setting and adaption
语音设置和变化","IPA options can work normally and adapt with IPA language
19. IPA options on/off -  speech的各种设置开关
20. IPA options adaption - 切换IPA语言检查设置变化 (请参考分享给大家的语音功能支持表格)
",2102447,Fail,"2108965
2112375",Fail,2108965,Fail,2129271,Fail,2129271,Fail,2168044,Fail,2177267,pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Fail,2272215,,,,,,,,,,
,,,,,High Rate,High Impact,16,,"persistance in new LCs
设置在新LC能够保持","chose main user and modify IPA setting, check if it changes in new LC
21.账号设置新LC保持
同一账号(尤其是主账号)的语音设置，检验新LC设置是否一致",,Fail,2113081,Fail,2129282,pass,,pass,,Fail,2167548,Fail,2167548,pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
,,,,,High Rate,High Impact,16,,"language package download
语言包下载","language package only need to download once
22.语音包下载
切换粤语/英语,能够自动触发相应语言包下载,并仅在更新app或恢复出厂后需要重新下载
23.唤醒词变化
当切换到新的语言包后,对应的唤醒词也会发生变化,如粤语和英语",,pass,,pass,,pass,,pass,,pass,,pass,,pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Fail,2267494*,,,,,,,,,,
,,,,,Low Rate,Moderate Impact,9,,"persistance of different accounts
设置在切账号后不会丢失","modify speech settings of main user, and switch to other accounts then change back, check if changes are synced
24.账号设置切换后保持
改变主账号的语音设置，切换其他账号再切换回来，检查设置是否一致",,pass,,Fail,2129282,pass,,pass,,Fail,2167548,Fail,2167548,pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Dynamic Roadtest
动态路测","Reliability
可靠性","Stability
系统稳定性",,,High Rate,High Impact,16,"speech performance
语音使用性能","speech stability after long time using
系统运行是否足够稳定","speech can keep working stable without stuck or ends abnormaly 
25.连续使用稳定性
语音在高强度连续多轮对话时保持稳定，并正确响应输入，无严重performance问题
26.长时运行稳定性
系统长时间运行(连续1小时左右)，speech能保持稳定,无Elli stuck或无响应
27.高资源占用场景稳定性
高资源韩永时,检验唤醒以及Elli出现的performance,唤醒延时1秒内，对话反馈2.5秒内",,Fail,2111259,Fail,2111259,Fail,2135578,Fail,2135578,blocked,2168387,Fail,2183142,pass,,Pass,,Pass,,Pass,,Fail,"2225070
2223183 new
2228685 new
2228686 new",Fail,"2226508
2228685
2228686
2226508 ",Fail,"2228685
2228686 
2241245",Fail,"2228686 
2241245",Fail,2228686,Fail,2228686,,,,,,,,,,
